iter,si
5,-0.28535500168800354
5,-0.2918459177017212
5,-0.29039597511291504
5,-0.28798556327819824
5,-0.29391956329345703
10,-0.26374298334121704
10,-0.26954349875450134
10,-0.2622600495815277
10,-0.25757458806037903
10,-0.2644595801830292
20,-0.23399227857589722
20,-0.23329080641269684
20,-0.23013101518154144
20,-0.23374006152153015
20,-0.23289938271045685
30,-0.22472740709781647
30,-0.22346755862236023
30,-0.2257622629404068
30,-0.22084195911884308
30,-0.2239401936531067
40,-0.21823184192180634
40,-0.22573788464069366
40,-0.22205205261707306
40,-0.220766082406044
40,-0.21876277029514313
50,-0.21554766595363617
50,-0.21979328989982605
50,-0.21676717698574066
50,-0.21910519897937775
50,-0.21523027122020721
60,-0.21345365047454834
60,-0.21397678554058075
60,-0.2161329984664917
60,-0.21801823377609253
60,-0.21860571205615997
70,-0.21839639544487
70,-0.21912458539009094
70,-0.21551422774791718
70,-0.21753722429275513
70,-0.21897980570793152
80,-0.21851027011871338
80,-0.21252703666687012
80,-0.2201644480228424
80,-0.2201453298330307
80,-0.21851283311843872
90,-0.2130444049835205
90,-0.20964568853378296
90,-0.211537703871727
90,-0.21330228447914124
90,-0.2120235413312912
100,-0.21194744110107422
100,-0.21717117726802826
100,-0.21090668439865112
100,-0.21124714612960815
100,-0.21026119589805603
