iter,si
5,-0.2950994372367859
5,-0.292701780796051
5,-0.2889305055141449
5,-0.29349610209465027
5,-0.2929440140724182
6,-0.2831622362136841
6,-0.280180424451828
6,-0.28257840871810913
6,-0.2818349301815033
6,-0.2870085537433624
7,-0.27091917395591736
7,-0.27428844571113586
7,-0.2724306285381317
7,-0.2755977213382721
7,-0.2720572352409363
8,-0.27170315384864807
8,-0.26843369007110596
8,-0.2718081474304199
8,-0.2666241526603699
8,-0.2661401331424713
9,-0.26643866300582886
9,-0.2660963237285614
9,-0.27194464206695557
9,-0.26886311173439026
9,-0.2710622549057007
10,-0.26457399129867554
10,-0.2618369162082672
10,-0.2686363160610199
10,-0.2601282596588135
10,-0.2602226734161377
15,-0.24327543377876282
15,-0.24884775280952454
15,-0.24291561543941498
15,-0.2455115169286728
15,-0.24716225266456604
20,-0.2371833622455597
20,-0.2360941767692566
20,-0.23263977468013763
20,-0.23409882187843323
20,-0.2352873980998993
25,-0.22783946990966797
25,-0.22410733997821808
25,-0.22666020691394806
25,-0.2256883680820465
25,-0.22922049462795258
30,-0.2168322652578354
30,-0.22254948318004608
30,-0.22019988298416138
30,-0.22399261593818665
30,-0.22635070979595184
35,-0.22352078557014465
35,-0.2194361835718155
35,-0.2184133231639862
35,-0.22444142401218414
35,-0.2182423174381256
40,-0.219776913523674
40,-0.23015426099300385
40,-0.21930016577243805
40,-0.21880468726158142
40,-0.2253073900938034
45,-0.21569675207138062
45,-0.21825319528579712
45,-0.2197437435388565
45,-0.21872231364250183
45,-0.21182656288146973
50,-0.21818575263023376
50,-0.2250855267047882
50,-0.21801190078258514
50,-0.21752336621284485
50,-0.22131232917308807
55,-0.21977689862251282
55,-0.21555328369140625
55,-0.21947968006134033
55,-0.21433405578136444
55,-0.21270222961902618
60,-0.21865849196910858
60,-0.2187519669532776
60,-0.21646541357040405
60,-0.22207677364349365
60,-0.21807892620563507
65,-0.2157692164182663
65,-0.21525686979293823
65,-0.2155108004808426
65,-0.2188619077205658
65,-0.21404488384723663
70,-0.21681681275367737
70,-0.21629157662391663
70,-0.21409213542938232
70,-0.2172849327325821
70,-0.21341921389102936
75,-0.21624755859375
75,-0.21868276596069336
75,-0.21674975752830505
75,-0.21772392094135284
75,-0.2212558537721634
80,-0.22113361954689026
80,-0.2189675271511078
80,-0.21943649649620056
80,-0.21622569859027863
80,-0.2178991138935089
85,-0.21751564741134644
85,-0.21604497730731964
85,-0.21471627056598663
85,-0.21363481879234314
85,-0.2164594829082489
90,-0.21917150914669037
90,-0.21346232295036316
90,-0.2123759239912033
90,-0.2133943885564804
90,-0.21058158576488495
95,-0.21249346435070038
95,-0.21250058710575104
95,-0.21161143481731415
95,-0.21294593811035156
95,-0.21335119009017944
100,-0.21044030785560608
100,-0.21622785925865173
100,-0.21057593822479248
100,-0.2089327871799469
100,-0.21601125597953796
