iter,si
5,-0.2896612286567688
5,-0.2873319387435913
5,-0.2919969856739044
5,-0.2849219739437103
5,-0.2869897484779358
6,-0.2790931463241577
6,-0.2845359146595001
6,-0.2833545506000519
6,-0.27855199575424194
6,-0.27980223298072815
7,-0.272469699382782
7,-0.2673603296279907
7,-0.27730241417884827
7,-0.27220389246940613
7,-0.2728901207447052
8,-0.26372018456459045
8,-0.27501508593559265
8,-0.26908132433891296
8,-0.27371150255203247
9,-0.26766568422317505
9,-0.270854115486145
9,-0.2668134272098541
9,-0.2645399570465088
9,-0.26726508140563965
10,-0.2596101462841034
10,-0.26125168800354004
10,-0.26503485441207886
10,-0.26131924986839294
10,-0.2638939321041107
15,-0.24695491790771484
15,-0.24271011352539062
15,-0.248259499669075
15,-0.24369704723358154
15,-0.25018730759620667
20,-0.23114141821861267
20,-0.2308666706085205
20,-0.23232518136501312
20,-0.2378242015838623
20,-0.23435400426387787
25,-0.22526326775550842
25,-0.2270398736000061
25,-0.23063167929649353
25,-0.22919389605522156
30,-0.22553610801696777
30,-0.22134172916412354
30,-0.2259664237499237
30,-0.2215154767036438
30,-0.2230624556541443
35,-0.2262379676103592
35,-0.21923179924488068
35,-0.21934501826763153
35,-0.2210228443145752
35,-0.22124998271465302
40,-0.22270561754703522
40,-0.21963711082935333
40,-0.21849162876605988
40,-0.22138148546218872
40,-0.22078105807304382
45,-0.22169874608516693
45,-0.22204411029815674
45,-0.22369933128356934
45,-0.21814225614070892
45,-0.21576158702373505
50,-0.21555893123149872
50,-0.22353556752204895
50,-0.21742752194404602
50,-0.21942368149757385
50,-0.21289603412151337
60,-0.21811938285827637
60,-0.21814405918121338
60,-0.21808387339115143
60,-0.22051863372325897
60,-0.21839773654937744
70,-0.21912413835525513
70,-0.2134259194135666
70,-0.21278177201747894
70,-0.21651692688465118
70,-0.21637260913848877
80,-0.21997329592704773
80,-0.22405444085597992
80,-0.2141963392496109
80,-0.218606099486351
80,-0.21623551845550537
90,-0.21411484479904175
90,-0.21396417915821075
90,-0.2113776057958603
90,-0.21129055321216583
90,-0.21491537988185883
100,-0.2159005105495453
100,-0.2142598181962967
100,-0.2110186666250229
100,-0.214704692363739
100,-0.21316470205783844
